YEAR,MONTH,Number_of_Tags_Issued,animal_type,zip_code,OBJECTID
2013,11,1,CAT,40223,600
2013,11,5,CAT,40228,601
2013,11,7,CAT,40229,602
2013,11,2,CAT,40243,603
2013,11,2,CAT,40245,604
2013,11,3,CAT,40258,605
2013,11,8,CAT,40272,606
2013,11,1,CAT,40291,607
2013,11,1,DOG,40023,608
2013,11,1,DOG,40059,609
2013,11,1,DOG,40071,610
2013,11,3,DOG,40118,611
2013,11,2,DOG,40204,612
2013,11,11,DOG,40205,613
2013,11,1,DOG,40206,614
2013,11,8,DOG,40207,615
2013,11,1,DOG,40208,616
2013,11,1,DOG,40209,617
2013,11,1,DOG,40212,618
2013,11,12,DOG,40213,619
2013,11,25,DOG,40214,620
2013,11,5,DOG,40215,621
2013,11,8,DOG,40216,622
2013,11,12,DOG,40217,623
2013,11,5,DOG,40218,624
2013,11,10,DOG,40219,625
2013,11,4,DOG,40220,626
2013,11,3,DOG,40222,627
2013,11,5,DOG,40223,628
2013,11,9,DOG,40228,629
2013,11,8,DOG,40229,630
2013,11,3,DOG,40241,631
2013,11,6,DOG,40242,632
2013,11,2,DOG,40243,633
2013,11,6,DOG,40245,634
2013,11,8,DOG,40258,635
2013,11,16,DOG,40272,636
2013,11,3,DOG,40291,637
2013,11,3,DOG,40299,638
2013,12,1,CAT,40059,639
2013,12,4,CAT,40205,640
2013,12,1,CAT,40206,641
2013,12,1,CAT,40207,642
2013,12,1,CAT,40208,643
2013,12,1,CAT,40212,644
2013,12,5,CAT,40214,645
2013,12,1,CAT,40215,646
2013,12,2,CAT,40216,647
2013,12,1,CAT,40217,648
2013,12,2,CAT,40219,649
2013,12,3,CAT,40220,650
2013,12,2,CAT,40223,651
2013,12,1,CAT,40229,652
2013,12,3,CAT,40241,653
2013,12,1,CAT,40268,654
2013,12,1,CAT,40272,655
2013,12,1,CAT,40299,656
2013,12,1,DOG,,657
2013,12,2,DOG,40118,658
2013,12,1,DOG,40160,659
2013,12,1,DOG,40203,660
2013,12,3,DOG,40204,661
2013,12,6,DOG,40205,662
2013,12,4,DOG,40206,663
2013,12,3,DOG,40207,664
2013,12,3,DOG,40208,665
2013,12,1,DOG,40211,666
2013,12,2,DOG,40213,667
2013,12,9,DOG,40214,668
2013,12,3,DOG,40215,669
2013,12,12,DOG,40216,670
2013,12,3,DOG,40218,671
2013,12,6,DOG,40219,672
2013,12,7,DOG,40220,673
2013,12,3,DOG,40222,674
2013,12,1,DOG,40223,675
2013,12,1,DOG,40228,676
2013,12,2,DOG,40229,677
2013,12,3,DOG,40241,678
2013,12,1,DOG,40242,679
2013,12,2,DOG,40243,680
2013,12,8,DOG,40258,681
2013,12,3,DOG,40272,682
2013,12,2,DOG,40291,683
2013,12,6,DOG,40299,684
2014,1,3,CAT,40204,685
2014,1,1,CAT,40205,686
2014,1,1,CAT,40207,687
2014,1,2,CAT,40208,688
2014,1,4,CAT,40213,689
2014,1,4,CAT,40215,690
2014,1,3,CAT,40216,691
2014,1,1,CAT,40217,692
2014,1,3,CAT,40218,693
2014,1,2,CAT,40220,694
2014,1,1,CAT,40222,695
2014,1,1,CAT,40223,696
2014,1,2,CAT,40228,697
2014,1,1,CAT,40229,698
2014,1,1,CAT,40241,699
2014,1,5,CAT,40245,700
2014,1,4,CAT,40258,701
2014,1,7,CAT,40272,702
2014,1,1,CAT,40291,703
2014,1,1,DOG,,704
2014,1,4,DOG,40059,705
2014,1,1,DOG,40203,706
2014,1,4,DOG,40204,707
2014,1,7,DOG,40205,708
2014,1,1,DOG,40206,709
2014,1,7,DOG,40207,710
2014,1,1,DOG,40208,711
2014,1,4,DOG,40211,712
2014,1,2,DOG,40212,713
2014,1,9,DOG,40213,714
2014,1,4,DOG,40214,715
2014,1,3,DOG,40215,716
2014,1,9,DOG,40216,717
2014,1,1,DOG,40217,718
2014,1,4,DOG,40218,719
2014,1,13,DOG,40219,720
2014,1,7,DOG,40220,721
2014,1,6,DOG,40222,722
2014,1,3,DOG,40223,723
2014,1,4,DOG,40228,724
2014,1,7,DOG,40229,725
2014,1,10,DOG,40241,726
2014,1,3,DOG,40242,727
2014,1,2,DOG,40243,728
2014,1,2,DOG,40245,729
2014,1,12,DOG,40258,730
2014,1,1,DOG,40268,731
2014,1,10,DOG,40272,732
2014,1,7,DOG,40291,733
2014,1,10,DOG,40299,734
2014,2,1,CAT,23130,735
2014,2,2,CAT,40059,736
2014,2,2,CAT,40204,737
2014,2,6,CAT,40205,738
2014,2,1,CAT,40206,739
2014,2,7,CAT,40207,740
2014,2,8,CAT,40214,741
2014,2,3,CAT,40216,742
2014,2,1,CAT,40217,743
2014,2,1,CAT,40218,744
2014,2,1,CAT,40219,745
2014,2,3,CAT,40220,746
2014,2,3,CAT,40222,747
2014,2,3,CAT,40223,748
2014,2,2,CAT,40228,749
2014,2,5,CAT,40229,750
2014,2,3,CAT,40241,751
2014,2,1,CAT,40243,752
2014,2,3,CAT,40245,753
2014,2,5,CAT,40258,754
2014,2,12,CAT,40272,755
2014,2,10,CAT,40291,756
2014,2,2,CAT,40299,757
2014,2,1,DOG,40059,758
2014,2,1,DOG,40118,759
2014,2,1,DOG,40203,760
2014,2,5,DOG,40204,761
2014,2,7,DOG,40205,762
2014,2,4,DOG,40206,763
2014,2,15,DOG,40207,764
2014,2,2,DOG,40208,765
2014,2,1,DOG,40211,766
2014,2,3,DOG,40212,767
2014,2,11,DOG,40213,768
2014,2,9,DOG,40214,769
2014,2,5,DOG,40215,770
2014,2,12,DOG,40216,771
2014,2,7,DOG,40217,772
2014,2,5,DOG,40218,773
2014,2,5,DOG,40219,774
2014,2,5,DOG,40220,775
2014,2,8,DOG,40222,776
2014,2,3,DOG,40223,777
2014,2,9,DOG,40228,778
2014,2,6,DOG,40229,779
2014,2,5,DOG,40241,780
2014,2,6,DOG,40242,781
2014,2,1,DOG,40243,782
2014,2,1,DOG,40245,783
2014,2,3,DOG,40258,784
2014,2,6,DOG,40272,785
2014,2,7,DOG,40291,786
2014,2,7,DOG,40299,787
2014,2,2,DOG,47130,788
2014,3,1,CAT,40059,789
2014,3,1,CAT,40065,790
2014,3,4,CAT,40205,791
2014,3,1,CAT,40206,792
2014,3,3,CAT,40207,793
2014,3,1,CAT,40208,794
2014,3,2,CAT,40212,795
2014,3,1,CAT,40213,796
2014,3,3,CAT,40214,797
2014,3,1,CAT,40215,798
2014,3,1,CAT,40217,799
2014,3,1,CAT,40218,800
2014,3,3,CAT,40219,801
2014,3,3,CAT,40220,802
2014,3,2,CAT,40222,803
2014,3,2,CAT,40223,804
2014,3,3,CAT,40229,805
2014,3,1,CAT,40241,806
2014,3,1,CAT,40242,807
2014,3,2,CAT,40245,808
2014,3,5,CAT,40272,809
2014,3,1,CAT,40291,810
2014,3,2,CAT,40299,811
2014,3,2,DOG,40023,812
2014,3,2,DOG,40025,813
2014,3,1,DOG,40069,814
2014,3,1,DOG,40107,815
2014,3,1,DOG,40118,816
2014,3,1,DOG,40203,817
2014,3,5,DOG,40204,818
2014,3,9,DOG,40205,819
