OBJECTID,ZCTA5CE10,GEOID10,FUNCSTAT10,ALAND10,AWATER10,County,SIF_Area,GlobalID,ALAND10_1,AWATER10_1,INTPTLAT10_1,INTPTLON10_1,PARTFLG10_1,GEOID10_12,ZCTA5CE10_12,County_12,ID,Median_HH_Income
96,48374,2648374,S,23521854,295905,,,ad6c3f82-4260-479d-911c-fbb8e1463b5b,23521854,295905,+42.4732261,-083.5228625,N,2648374,48374,Oakland,162,142038
97,48377,2648377,S,24977248,2201392,,,c352c653-f181-4d56-962e-1cdbb3471c62,24977248,2201392,+42.5049256,-083.4741625,N,2648377,48377,Oakland,164,57032
98,48342,2648342,S,14852162,135050,,1,c388f454-3a28-4869-8408-35f70f2579f4,14852162,135050,+42.6422635,-083.2734150,N,2648342,48342,Oakland,149,19532
99,48327,2648327,S,29357542,1254703,,,49c78f0a-53e9-46a5-8e40-52a207a99d4f,29357542,1254703,+42.6369326,-083.4099874,N,2648327,48327,Oakland,140,51181
100,48367,2648367,S,60738183,2515683,,,58a3b74c-2187-4a07-bb5c-2b0788538576,60738183,2515683,+42.8362325,-083.1369016,N,2648367,48367,Oakland,159,72755
101,48204,2648204,S,12980500,0,Wayne,,ee9f81ca-68c9-49d7-b8f5-d93f6a519320,12980500,0,+42.3658122,-083.1429352,N,2648204,48204,Wayne,86,21583
102,48173,2648173,S,30022088,5808529,Wayne,,903af141-b81e-4733-9b2e-3998bacd2159,30022088,5808529,+42.0736789,-083.2127735,N,2648173,48173,Wayne,70,68806
103,48141,2648141,S,16194528,1610,Wayne,1,c014f168-1c1a-4a68-a7d5-f3bff887c94e,16194528,1610,+42.2940543,-083.3198665,N,2648141,48141,Wayne,60,27849
104,48229,2648229,S,7303781,4867,Wayne,,3e01772c-92f9-407f-8d3b-9d20dd277641,7303781,4867,+42.2505594,-083.1428672,N,2648229,48229,Wayne,110,29637
105,48184,2648184,S,18208616,3148,Wayne,,07dc3957-2470-4bfa-b82e-5c83fb7fdb06,18208616,3148,+42.2744787,-083.3956231,N,2648184,48184,Wayne,75,39390
106,48243,2648243,S,42722,0,Wayne,,f5bbbd8d-0248-495e-8edd-0aa896fea4bf,42722,0,+42.3299748,-083.0395060,N,2648243,48243,Wayne,121,
107,48186,2648186,S,21391213,15889,Wayne,,a9a06c5f-9561-495d-91df-10da9993d3b6,21391213,15889,+42.2937641,-083.3707389,N,2648186,48186,Wayne,77,44632
108,48226,2648226,S,3197600,0,Wayne,,10d4ffc5-1666-4667-8776-e2093ed438a0,3197600,0,+42.3315417,-083.0502670,N,2648226,48226,Wayne,107,35320
109,48462,2648462,S,123305612,3336299,,,02ee4cc1-92fc-4db4-b8f0-a934d95076a2,123305612,3336299,+42.8485128,-083.4216680,N,2648462,48462,Oakland,174,77172
110,48066,2648066,S,25516402,74007,,,6f099a36-90d8-427c-a91b-5bcfb3bbada1,25516402,74007,+42.5075864,-082.9365822,N,2648066,48066,Macomb,24,40586
111,48310,2648310,S,21908557,69654,,,fad72334-60ac-4536-add5-154e2b75d402,21908557,69654,+42.5634354,-083.0683965,N,2648310,48310,Macomb,128,53885
112,48092,2648092,S,21213730,94029,,,07382348-9127-4488-baf6-a321abe78e37,21213730,94029,+42.5135933,-083.0589380,N,2648092,48092,Macomb,42,47241
113,48051,2648051,S,39007428,144086,,,eaab7d65-0015-40ef-af0c-d44ac7ce89ff,39007428,144086,+42.6936406,-082.8210012,N,2648051,48051,Macomb,21,67712
114,48164,2648164,S,76119149,380809,Wayne,,0fbccab9-6f83-488f-98fb-45a80007361e,76119149,380809,+42.1245713,-083.3868655,N,2648164,48164,Wayne,65,77909
115,48370,2648370,S,30968042,318137,,,8b688df2-3a9c-4904-b764-10f248ffbdaf,30968042,318137,+42.8428757,-083.2003646,N,2648370,48370,Oakland,160,93542
116,48307,2648307,S,39752809,131153,,,01abf598-7245-4c06-818e-d0482a35a103,39752809,131153,+42.6593160,-083.1226790,N,2648307,48307,Oakland,126,67162
117,48382,2648382,S,42605404,4905944,,,a83cd5ad-c8ca-4ebc-bdcd-5a7157699503,42605404,4905944,+42.5925579,-083.5071571,N,2648382,48382,Oakland,167,92021
118,48336,2648336,S,23545178,0,,,c2840fb9-182d-4036-9926-bac89d6a6ef6,23545178,0,+42.4631444,-083.3472697,N,2648336,48336,Oakland,146,54901
119,48334,2648334,S,23280642,33221,,,a5250d5c-9f67-44dd-b8e7-e3de859670e7,23280642,33221,+42.5046969,-083.3492034,N,2648334,48334,Oakland,144,67400
120,48030,2648030,S,7297399,0,,,a08a3188-30f2-4094-8b28-2b13ec3a6b3c,7297399,0,+42.4619241,-083.0976891,N,2648030,48030,Oakland,8,31596
121,48324,2648324,S,22267787,9211406,,,61501fe8-5c58-4942-8aca-27c8db1ade64,22267787,9211406,+42.5941607,-083.3924626,N,2648324,48324,Oakland,138,95290
122,48362,2648362,S,25688754,3921695,,,cd504335-1274-4447-9144-62e2f9e480bd,25688754,3921695,+42.7844767,-083.2703389,N,2648362,48362,Oakland,157,76841
123,48350,2648350,S,61607645,2335994,,,09bcd477-d5f4-4982-ad6d-06bd9ae0d7e5,61607645,2335994,+42.7394182,-083.5310441,N,2648350,48350,Oakland,152,79735
124,48084,2648084,S,16008059,0,,,73ae3d1c-5a80-4ec7-b06e-8ae9187fe19d,16008059,0,+42.5606333,-083.1757059,N,2648084,48084,Oakland,37,82670
125,48072,2648072,S,6220197,0,,,e4124019-085b-4121-be54-d530fbfefba3,6220197,0,+42.4979022,-083.1858587,N,2648072,48072,Oakland,29,70625
126,48009,2648009,S,13084514,31709,,,c87bb0bc-7be3-432a-b5c3-d6092c2183f3,13084514,31709,+42.5440484,-083.2176527,N,2648009,48009,Oakland,2,107161
127,48168,2648168,S,52837702,610512,Wayne,,d9bd87a4-03ff-42a2-844a-44cbb3935e43,52837702,610512,+42.4052615,-083.5404983,N,2648168,48168,Wayne,68,129821
128,48170,2648170,S,88448610,539814,Wayne,,7f9f9e75-8d18-4157-9e01-5868489dff32,88448610,539814,+42.3676895,-083.5343063,N,2648170,48170,Wayne,69,77191
129,48224,2648224,S,14852847,0,Wayne,1,462ca262-627f-42c2-84d9-34ddb1d049ae,14852847,0,+42.4106935,-082.9412646,N,2648224,48224,Wayne,105,30262
130,48209,2648209,S,17501605,347455,Wayne,1,29eab73c-6f25-4ce7-b031-f20f8fb8d278,17501605,347455,+42.3067234,-083.1168627,N,2648209,48209,Wayne,91,26346
131,48212,2648212,S,13854094,26408,Wayne,1,4951d97e-411d-4812-a479-86a974d77d30,13854094,26408,+42.4097208,-083.0563945,N,2648212,48212,Wayne,94,23592
132,48239,2648239,S,25193320,93427,Wayne,,f1b1f149-75ad-4f58-9318-fdb181f9a22f,25193320,93427,+42.3760459,-083.2831741,N,2648239,48239,Wayne,118,50346
133,48093,2648093,S,14641248,99514,,,9a96a1ac-f066-4993-9cdc-f1aeff332532,14641248,99514,+42.5158896,-083.0164831,N,2648093,48093,Macomb,43,49152
134,48042,2648042,S,58854197,113652,,,a90bd71e-c638-45ec-baf7-106efcd5703c,58854197,113652,+42.6836582,-082.9079746,N,2648042,48042,Macomb,14,84312
135,48080,2648080,S,11325638,1885265,,,085ea5b5-338a-4752-b0ca-71130c965624,11325638,1885265,+42.4644239,-082.8961751,N,2648080,48080,Macomb,33,50740
136,48095,2648095,S,43806880,922896,,,ba3b3bec-8c66-47f8-9646-abc51eb5c315,43806880,922896,+42.7787358,-083.0480700,N,2648095,48095,Macomb,45,96810
137,48306,2648306,S,58870695,262841,,,4a6e067b-b6c4-48a1-8f65-218ebad13dba,58870695,262841,+42.7243181,-083.1473059,N,2648306,48306,Oakland,125,122446
138,48071,2648071,S,18374593,0,,1,b1bd95a9-6531-403f-9c7a-21ea9216aefe,18374593,0,+42.5072662,-083.1033699,N,2648071,48071,Oakland,28,40820
139,48375,2648375,S,22224685,79905,,,3608ede9-8f1e-4a6b-8e51-8b5ae37fc3ce,22224685,79905,+42.4641407,-083.4639580,N,2648375,48375,Oakland,163,81233
140,48067,2648067,S,11888903,2761,,,80f350b1-cf72-458b-bc20-18655ac473e5,11888903,2761,+42.4905582,-083.1375244,N,2648067,48067,Oakland,25,68107
141,48034,2648034,S,11188519,0,,,8397301f-fe7e-4185-8894-20d10f650a1f,11188519,0,+42.4969488,-083.2910783,N,2648034,48034,Oakland,10,42427
142,48033,2648033,S,23215673,14814,,,250dc9ce-bc26-4f6b-8b5e-a601213e3ebe,23215673,14814,+42.4593218,-083.2932048,N,2648033,48033,Oakland,9,44643
143,48075,2648075,S,19155677,0,,,8f4fe533-de51-47fa-9fcd-bdc6d67edd8f,19155677,0,+42.4620645,-083.2303980,N,2648075,48075,Oakland,31,53861
144,48085,2648085,S,24113159,403419,,,10bd56c1-48d5-4efd-b948-4bec1b45a7e1,24113159,403419,+42.6040325,-083.1221110,N,2648085,48085,Oakland,38,92065
145,48322,2648322,S,30447134,172677,,,8af16b33-2c06-4f3f-b4cd-da0fe7f6a28d,30447134,172677,+42.5381680,-083.3817212,N,2648322,48322,Oakland,136,80113
146,48069,2648069,S,1396492,0,,,691e9e2d-405b-422a-b002-7c3ca36b0bb9,1396492,0,+42.4713246,-083.1443317,N,2648069,48069,Oakland,26,100543
147,48206,2648206,S,8095663,0,Wayne,1,50947964-6ecd-458b-bedc-3a4e7d971d80,8095663,0,+42.3751234,-083.1078968,N,2648206,48206,Wayne,88,20702
148,48135,2648135,S,15198077,0,Wayne,,b1934cd4-6d21-4461-b1aa-ea3e89d9d01e,15198077,0,+42.3243842,-083.3412117,N,2648135,48135,Wayne,58,51498
149,48150,2648150,S,31043463,406031,Wayne,,37c9fd71-8435-4914-9cec-d9438138545e,31043463,406031,+42.3716044,-083.3767879,N,2648150,48150,Wayne,62,65060
150,48152,2648152,S,31368242,33600,Wayne,,e4920a02-0248-48e4-976a-00727c6f400b,31368242,33600,+42.4249348,-083.3742642,N,2648152,48152,Wayne,63,67509
151,48242,2648242,S,18054952,341236,Wayne,,4dcd95cc-0ccb-4cb0-9b1d-6801172bc6f8,18054952,341236,+42.2212105,-083.3451361,N,2648242,48242,Wayne,120,
