Provider,Positive_Cases_Staff,Positive_Cases_Child,Licensed_Capacity,Tier_Level,City,State,Zip_Code,Council_District,ObjectId
Second Presbyterian Weekday School,0,0,286,"$11,500 ",Louisville,KY,40207,16,163
Christ Church Preschool and Kindergarten,7,28,400,"$11,500 ",Louisville,KY,40207,7,164
Sonshine House Christian Daycare and Preschool,1,1,225,"$11,500 ",Louisville,KY,40219,24,165
Trinity Presbyterian Preschool,0,0,86,"$7,000 ",Louisville,KY,40223,18,166
Harvey Browne Preschool,8,38,170,"$11,500 ",Louisville,KY,40207,9,167
Highland Presbyterian Church Nursery & Weekday School,0,0,160,"$11,500 ",Louisville,KY,40204,8,168
Smyrna CEP,1,1,153,"$11,500 ",Louisville,KY,40228,23,169
St. Matthews Elementary YMCA SACC,0,0,294,"$11,500 ",Louisville,KY,40207,9,170
S.A.F.E. St. Athanasius After School Care,2,4,174,"$11,500 ",Louisville,KY,40219,24,171
Playworld Child Development,2,1,99,"$7,000 ",Louisville,KY,40228,23,172
Middletown United Methodist Preschool,3,3,126,"$11,500 ",Louisville,KY,40243,19,173
Rainbow Nursery School - Trustees of West Broadway Baptist Church,9,15,107,"$11,500 ",Louisville,KY,40220,26,174
Middletown United Methodist Child Development Center,6,17,113,"$11,500 ",Louisville,KY,40243,19,175
Northeast Family YMCA Child Development Center,6,17,90,"$7,000 ",Louisville,KY,40223,18,176
kid-s-kastle childcare and development center inc.,0,0,222,"$11,500 ",louisville,KY,40245,19,177
Middletown Christian Preschool & Kindergarten,0,0,193,"$11,500 ",Louisville,KY,40243,19,178
YMCA St. Patrick Afterschool Program,0,0,88,"$7,000 ",Louisville,KY,40245,19,179
St. Francis of Assisi Childcare,2,6,93,"$7,000 ",Louisville,KY,40205,8,180
Bright Expectations,0,0,194,"$11,500 ",Louisville,KY,40220,11,181
Zachary Taylor Elementary Childcare Enrichment Program,0,2,100,"$11,500 ",Louisville,KY,40241,17,182
Our Lady of Lourdes Extended Day Program,7,8,132,"$11,500 ",Louisville,KY,40207,9,183
Hite Elementary Childcare Enrichment Program,0,0,99,"$7,000 ",Louisville,KY,40243,19,184
Bright Beginnings Child Development Center,4,5,40,"$7,000 ",Louisville,KY,40219,2,185
MiniVersity Downtown Child Development Center,3,2,126,"$11,500 ",Louisville,KY,40203,4,186
Jeffersontown United Methodist Child Development Center,4,10,100,"$11,500 ",Louisville,KY,40299,11,187
Lil Angels Enrichment Center,1,1,60,"$7,000 ",louisville,KY,40203,4,188
