OBJECTID,LANDUSE_TYPE,LANDUSE_SUBTYPE,LANDUSE_KEY,SHAPE_Length,SHAPE_Area
2257,03,216,Public Parks,193.496067311788,-43.1113007762963
2258,03,217,Private Recreation,2171.18684457154,-227957.220960363
2259,03,217,Private Recreation,1769.71219748438,-190639.604662733
2260,03,217,Private Recreation,4807.80145170985,-1104639.82285651
2261,03,217,Private Recreation,13586.7367211963,-8240637.49292426
2262,03,217,Private Recreation,2236.91267521255,-228399.049352848
2263,03,217,Private Recreation,3127.21439310676,-333357.49762571
2264,03,217,Private Recreation,3291.61335462335,-332066.179955936
2265,03,217,Private Recreation,2188.02203925402,-255807.178225189
2266,03,217,Private Recreation,1419.31027084629,-117616.590954045
2267,03,217,Private Recreation,1554.60505015424,-37439.0389672759
2268,03,217,Private Recreation,2463.26376926243,-237823.423985997
2269,03,217,Private Recreation,3005.04980414991,-460259.148625173
2270,03,217,Private Recreation,2378.34217620914,-297308.313961574
2271,03,217,Private Recreation,16135.369554995,-6834130.20518697
2272,03,217,Private Recreation,1792.27716519253,-173042.801183994
2273,03,217,Private Recreation,3003.23172202343,-358027.249979132
2274,03,217,Private Recreation,12437.6646670027,-7032179.19946318
2275,03,217,Private Recreation,1960.11921402099,-206552.3679744
2276,03,217,Private Recreation,2053.97038635114,-256896.393742945
2277,03,217,Private Recreation,2048.48556566525,-242907.834800476
2278,03,217,Private Recreation,1326.20333918463,-106833.484729169
2279,03,217,Private Recreation,2259.01163898121,-230172.558773374
2280,03,217,Private Recreation,1407.22864440098,-120355.522904014
2281,03,217,Private Recreation,1657.73300686729,-145772.118356986
2282,03,217,Private Recreation,1384.13913476312,-110228.403981275
2283,03,217,Private Recreation,2217.81654551937,-251292.640636022
2284,03,217,Private Recreation,1691.56836805666,-176576.864742225
2285,03,217,Private Recreation,1086.89992644303,-44258.9427255806
2286,03,217,Private Recreation,3675.7271466856,-400852.86728671
2287,03,217,Private Recreation,1916.32674246596,-171157.48849645
2288,03,217,Private Recreation,2609.39848540202,-389461.47138167
2289,03,217,Private Recreation,708.025307253807,-27091.9307109967
2290,03,217,Private Recreation,850.234405708476,-38800.4284755915
2291,03,217,Private Recreation,1369.797584693,-131531.54205574
2292,03,217,Private Recreation,8593.01282548215,-4491888.46710761
2293,03,217,Private Recreation,2179.64565938858,-262086.706064939
2294,03,217,Private Recreation,1270.70580672115,-92853.3035266292
2295,03,217,Private Recreation,2615.05527064312,-295679.258701306
2296,03,217,Private Recreation,1043.88789822142,-52413.3434793414
2297,03,217,Private Recreation,11882.9636864827,-5617861.60991077
2298,03,217,Private Recreation,839.908981521599,-40649.5460546466
2299,03,217,Private Recreation,1451.81505451235,-133929.629561484
2300,03,217,Private Recreation,2015.19864411755,-137493.676336393
2301,03,217,Private Recreation,2711.13743850469,-340014.618906005
2302,03,217,Private Recreation,4570.61379675116,-612469.206167074
2303,03,217,Private Recreation,1914.05776331951,-213931.491292806
2304,03,217,Private Recreation,2525.08065881374,-123648.187158668
2305,03,217,Private Recreation,2274.90031385166,-177624.400271473
2306,03,217,Private Recreation,2882.50847120657,-305234.643344601
2307,03,217,Private Recreation,1901.66698078832,-152009.452389412
2308,03,217,Private Recreation,2167.02827012648,-155738.252444131
2309,03,217,Private Recreation,2312.22990910793,-208680.965834525
2310,03,217,Private Recreation,3358.64578139909,-617065.060134506
2311,03,217,Private Recreation,1772.73575944228,-173337.4101943
2312,03,217,Private Recreation,1884.69834502881,-152167.179805693
2313,03,217,Private Recreation,1840.27737365284,-208168.147181298
2314,03,217,Private Recreation,3317.00435667736,-292307.235820397
