County,District,School_Name,Program,Application_Number,Applicant,Preliminary_Grant_Application,Full_Grant_Application,Site_and_Design_Application,Site_Only_Application,Design_Only_Application,Environmental_Hardship_Application,Reduced_to_Costs_Incurred,Number_of_Elementary_School_Pupil_Grants_Requested,Number_of_Middle_School_Pupil_Grants_Requested,Number_of_High_School_Pupil_Grants_Requested,Number_of_Non_Severe_School_Pupil_Grants_Requested,Number_of_Severe_School_Pupil_Grants_Requested,Grade_Level_of_Project,State_Share_of_Funding,Site_Acquisition,Financial_Hardship,CSFA_Lease_Amount,CTEFP_Loan_Amount,Type_of_Joint_Use_Facility,Type_of_Joint_Use_Partner,Industry_Sector,Portables_Replaced,Last_SAB_Date,Status
Sacramento,Folsom-cordova Unified,Kinney High,Modernization,57/67330-24-006,,,830580.00,,,,,,,,246,,,HI,1661160.00,,,,,,,,,7/5/2000,Closed
Sacramento,Folsom-cordova Unified,Williamson Elementary,Modernization,57/67330-24-007,,,973642.00,,,,,,398,,,,,EL,1947284.00,,,,,,,,,7/5/2000,Closed
Sacramento,Folsom-cordova Unified,Cordova Meadows Elementary,Modernization,57/67330-24-008,,,811786.00,,,,,,332,,,,,EL,1623572.00,,,,,,,,,7/5/2000,Closed
Sacramento,Folsom-cordova Unified,Shields (peter J.) Elementary,Modernization,57/67330-24-009,,,870370.00,,,,,,357,,,,,EL,1740740.00,,,,,,,,,7/5/2000,Closed
Sacramento,Folsom-cordova Unified,Cordova Villa Elementary,Modernization,57/67330-24-010,,,1174107.00,,,,,,440,,,10,,EL,1174107.00,,,,,,,,,12/18/2002,Closed
Sacramento,Folsom-cordova Unified,Cordova Meadows Elementary,Modernization,57/67330-24-011,,,483333.00,,,,,,120,,,3,,EL,483333.00,,,,,,,,,12/15/2010,Closed
Sacramento,Folsom-cordova Unified,Rancho Cordova Elementary,Modernization,57/67330-24-012,,,137648.00,,,,,,8,,,12,,EL,137648.00,,,,,,,,,12/15/2010,Closed
Sacramento,Galt Joint Union Elementary,Valley Oaks Elementary,Modernization,57/67348-00-001,,,296590.00,,,,,,110,,,,,EL,593180.00,,,,,,,,,2/23/2005,Closed
Sacramento,Galt Joint Union Elementary,Valley Oaks Elementary,Modernization,57/67348-00-002,,,3975579.00,,,,,,672,,,,,EL,3975579.00,,,,,,,,,10/26/2022,100% Completed
Sacramento,Galt Joint Union Elementary,River Oaks Elementary,Modernization,57/67348-00-003,,,1757064.00,,,,,,297,,,,,EL,1757064.00,,,,,,,,,10/26/2022,100% Completed
Sacramento,Galt Joint Union Elementary,Vernon E. Greer Elementary,Modernization,57/67348-00-004,,,2947426.00,,,,,,451,,,9,,EL,2947426.00,,,,,,,,,5/31/2023,Funds Released
Sacramento,Galt Joint Union High,Galt High,Modernization,57/67355-00-001,,,568208.00,,,,,,,,162,,,HI,1136416.00,,,,,,,,,7/5/2000,Closed
Sacramento,Galt Joint Union High,Galt High,Modernization,57/67355-00-002,,,4277003.00,,,,,,,,578,8,,HI,4277003.00,,,,,,,,,1/26/2022,84% Completed
Sacramento,Galt Joint Union High,Galt High,Modernization,57/67355-00-003,,,8102529.00,,,,,,,,949,,,HI,8102529.00,,,,,,,,,4/27/2022,99% Completed
Sacramento,River Delta Joint Unified,White Elementary,Modernization,57/67413-00-001,,,553889.00,,,,,,280,,,,,EL,553889.00,,,,,,,,,5/26/1999,Closed
Sacramento,River Delta Joint Unified,Delta High,Modernization,57/67413-00-002,,,1532224.00,,,,,,,,318,,,HI,1532224.00,,,,,,,,,5/23/2007,Closed
Sacramento,River Delta Joint Unified,Isleton Elementary,Modernization,57/67413-00-003,,,1265116.00,,,,,,194,61,,4,,EL,1265116.00,,,,,,,,,9/24/2008,Closed
Sacramento,River Delta Joint Unified,Rio Vista High,Modernization,57/67413-00-004,,,1903156.00,,,,,,,,308,,,HI,1903156.00,,,,,,,,,9/24/2008,Closed
Sacramento,River Delta Joint Unified,Rio Vista High,Modernization,57/67413-00-005,,,763146.00,,,,,,,,100,,,HI,763146.00,,,,,,,,,10/29/2008,Closed
Sacramento,Robla Elementary,Robla Elementary,Modernization,57/67421-00-001,,,306080.00,,,,,,101,,,,,EL,612160.00,,,,,,,,,3/30/2005,Closed
Sacramento,Robla Elementary,Main Avenue Elementary,Modernization,57/67421-00-002,,,2148977.00,,,,,,288,,,,,EL,2148977.00,,,,,,,,,4/27/2022,Funds Released
Sacramento,Robla Elementary,Taylor Street Elementary,Modernization,57/67421-00-003,,,2677426.00,,,,,,392,,,10,,EL,2677426.00,,,,,,,,,2/22/2023,Funds Released
Sacramento,Sacramento City Unified,Sutter Middle,Modernization,57/67439-00-001,,,2357983.00,,,,,,,927,,,,MI,4715966.00,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Hiram W. Johnson High,Modernization,57/67439-00-002,,,7059145.40,,,,,,,,2273,,,HI,7059145.40,,,,,,,,,4/28/1999,Closed
Sacramento,Sacramento City Unified,Mark Twain Elementary,Modernization,57/67439-00-003,,,1191577.00,,,,,,554,,,,,EL,1191577.00,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,John Cabrillo Elementary,Modernization,57/67439-00-004,,,926426.60,,,,,,436,,,,,EL,926426.60,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Peter Burnett Elementary,Modernization,57/67439-00-005,,,1313756.40,,,,,,612,,,,,EL,1313756.40,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Joseph Bonnheim Elementary,Modernization,57/67439-00-006,,,1112924.60,,,,,,525,,,,,EL,1112924.60,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Elder Creek Elementary,Modernization,57/67439-00-007,,,1065400.40,,,,,,500,,,,,EL,1065400.40,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Parkway Elementary,Modernization,57/67439-00-008,,,1170951.40,,,,,,525,,,,,EL,1170951.40,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Phoebe A. Hearst Elementary,Modernization,57/67439-00-009,,,1031276.80,,,,,,450,,,,,EL,2062553.60,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,John Bidwell Elementary,Modernization,57/67439-00-010,,,624591.60,,,,,,300,,,,,EL,624591.60,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Earl Warren Elementary,Modernization,57/67439-00-011,,,737864.00,,,,,,350,,,,,EL,737864.00,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Judah (theodore) Elementary,Modernization,57/67439-00-012,,,1028057.40,,,,,,450,,,,,EL,2056114.80,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Tahoe Elementary,Modernization,57/67439-00-013,,,1019108.20,,,,,,462,,,,,EL,1019108.20,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Caleb Greenwood Elementary,Modernization,57/67439-00-014,,,1347311.80,,,,,,575,,,,,EL,2694623.60,,,,,,,,,6/23/1999,100% Completed
Sacramento,Sacramento City Unified,Collis P. Huntington Elementar,Modernization,57/67439-00-015,,,664066.00,,,,,,326,,,,,EL,664066.00,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Hollywood Park Elementary,Modernization,57/67439-00-016,,,810440.80,,,,,,357,,,,,EL,1620881.60,,,,,,,,,4/28/1999,Closed
Sacramento,Sacramento City Unified,Jedediah Smith Elementary,Modernization,57/67439-00-017,,,1111157.00,,,,,,507,,,,,EL,1111157.00,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Sutterville Elementary,Modernization,57/67439-00-018,,,897749.40,,,,,,400,,,,,EL,897749.40,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Maple Elementary,Modernization,57/67439-00-019,,,571230.40,,,,,,254,,,,,EL,571230.40,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,Clayton B. Wire Elementary,Modernization,57/67439-00-020,,,1062001.00,,,,,,450,,,,,EL,1062001.00,,,,,,,,,4/28/1999,Closed
Sacramento,Sacramento City Unified,Freeport Elementary,Modernization,57/67439-00-021,,,955478.00,,,,,,461,,,,,EL,955478.00,,,,,,,,,4/28/1999,Closed
Sacramento,Sacramento City Unified,Fruit Ridge Elementary,Modernization,57/67439-00-022,,,1169917.80,,,,,,550,,,,,EL,1169917.80,,,,,,,,,4/28/1999,Closed
Sacramento,Sacramento City Unified,H. W. Harkness Elementary,Modernization,57/67439-00-023,,,837719.40,,,,,,400,,,,,EL,837719.40,,,,,,,,,4/28/1999,Closed
Sacramento,Sacramento City Unified,Oak Ridge Elementary,Modernization,57/67439-00-024,,,662911.28,,,,,,600,,,,,EL,662911.28,,,,,,,,,4/28/1999,Closed
Sacramento,Sacramento City Unified,Pacific Elementary,Modernization,57/67439-00-025,,,1167612.60,,,,,,550,,,,,EL,1167612.60,,,,,,,,,4/28/1999,Closed
Sacramento,Sacramento City Unified,Ethel Phillips Elementary,Modernization,57/67439-00-026,,,1529907.00,,,,,,592,,,,,EL,3059814.00,,,,,,,,,4/28/1999,Closed
Sacramento,Sacramento City Unified,Woodbine Elementary,Modernization,57/67439-00-027,,,561200.20,,,,,,267,,,,,EL,561200.20,,,,,,,,,4/28/1999,Closed
Sacramento,Sacramento City Unified,Ethel I. Baker Elementary,Modernization,57/67439-00-028,,,1326389.60,,,,,,625,,,,,EL,1326389.60,,,,,,,,,5/26/1999,Closed
Sacramento,Sacramento City Unified,John D. Sloat Elementary,Modernization,57/67439-00-029,,,699933.00,,,,,,275,,,,,EL,699933.00,,,,,,,,,12/18/2002,Closed
Sacramento,Sacramento City Unified,Mark Hopkins Elementary,Modernization,57/67439-00-030,,,1208975.00,,,,,,475,,,,,EL,1208975.00,,,,,,,,,12/18/2002,Closed
Sacramento,Sacramento City Unified,Edward Kemble Elementary,Modernization,57/67439-00-031,,,1908908.00,,,,,,750,,,,,EL,1908908.00,,,,,,,,,12/18/2002,Closed
Sacramento,Sacramento City Unified,Hubert H. Bancroft Elementary,Modernization,57/67439-00-032,,,1095526.00,,,,,,375,,,26,,EL,1095526.00,,,,,,,,,12/18/2002,Closed
Sacramento,Sacramento City Unified,O. W. Erlewine Elementary,Modernization,57/67439-00-033,,,867187.00,,,,,,313,,,13,,EL,867187.00,,,,,,,,,12/18/2002,Closed
Sacramento,Sacramento City Unified,Sequoia Elementary,Modernization,57/67439-00-034,,,1272605.00,,,,,,500,,,,,EL,1272605.00,,,,,,,,,12/18/2002,Closed
Sacramento,Sacramento City Unified,Pony Express Elementary,Modernization,57/67439-00-035,,,845932.00,,,,,,275,,,,18,EL,845932.00,,,,,,,,,12/18/2002,Closed
Sacramento,Sacramento City Unified,Bear Flag Elementary,Modernization,57/67439-00-036,,,818746.00,,,,,,293,,,,9,EL,818746.00,,,,,,,,,12/18/2002,Closed
Sacramento,Sacramento City Unified,Birney (alice) Elementary,Modernization,57/67439-00-037,,,977634.00,,,,,,300,,,26,9,EL,977634.00,,,,,,,,,12/18/2002,Closed
Sacramento,Sacramento City Unified,Isador Cohen Elementary,Modernization,57/67439-00-038,,,1255369.00,,,,,,440,,,,,EL,1255369.00,,,,,,,,,3/30/2005,Closed
Sacramento,Sacramento City Unified,Caroline Wenzel Elementary,Modernization,57/67439-00-039,,,1370338.00,,,,,,419,,,29,,EL,1370338.00,,,,,,,,,2/23/2005,Closed
Sacramento,Sacramento City Unified,American Legion High,Modernization,57/67439-00-040,,,1155803.00,,,,,,,,294,,,HI,1155803.00,,,,,,,,,3/30/2005,Closed
Sacramento,Sacramento City Unified,Da Vinci (leonardo) Elementary,Modernization,57/67439-00-041,,,1782269.00,,,,,,415,117,,41,,EL,3564538.00,,,,,,,,,3/30/2005,Closed
Sacramento,Sacramento City Unified,Bowling Green Elementary,Modernization,57/67439-00-042,,,2074889.00,,,,,,610,,,,38,EL,4149778.00,,,,,,,,,2/23/2005,Closed
Sacramento,Sacramento City Unified,Camellia Basic Elementary,Modernization,57/67439-00-043,,,1210188.00,,,,,,424,,,,,EL,2420376.00,,,,,,,,,3/30/2005,Closed
Sacramento,Sacramento City Unified,Kit Carson Middle,Modernization,57/67439-00-044,,,2245757.00,,,,,,,701,,21,,MI,4491514.00,,,,,,,,,3/30/2005,Closed
Sacramento,Sacramento City Unified,Sam Brannan Middle,Modernization,57/67439-00-045,,,3443666.00,,,,,,,1069,,29,5,MI,6887332.00,,,,,,,,,2/23/2005,Closed
Sacramento,Sacramento City Unified,Abraham Lincoln Elementary,Modernization,57/67439-00-046,,,1354464.00,,,,,,456,,,9,,EL,2708928.00,,,,,,,,,2/23/2005,Closed
Sacramento,Sacramento City Unified,Washington Elementary,Modernization,57/67439-00-047,,,1026661.00,,,,,,304,,,,,EL,2053322.00,,,,,,,,,3/30/2005,Closed
Sacramento,Sacramento City Unified,Language Academy Of Sacramento,Modernization,57/67439-00-048,,,1164521.00,,,,,,408,,,,,EL,2329042.00,,,,,,,,,3/30/2005,Closed
Sacramento,Sacramento City Unified,Golden Empire Elementary,Modernization,57/67439-00-049,,,1618671.00,,,,,,569,,,,,EL,3237342.00,,,,,,,,,3/30/2005,Closed
Sacramento,Sacramento City Unified,Thomas Jefferson Elementary,Modernization,57/67439-00-050,,,900299.00,,,,,,260,,,26,,EL,1800598.00,,,,,,,,,2/23/2005,Closed
Sacramento,Sacramento City Unified,A. M. Winn Elementary,Modernization,57/67439-00-051,,,1382212.00,,,,,,442,,,13,7,EL,1382212.00,,,,,,,,,10/27/2004,Closed
Sacramento,Sacramento City Unified,Alice Birney Waldorf-inspired,Modernization,57/67439-00-052,,,536217.00,,,,,,156,,,,,EL,536217.00,,,,,,,,,3/30/2005,Closed
Sacramento,Sacramento City Unified,Nicholas Elementary,Modernization,57/67439-00-053,,,1494754.00,,,,,,525,,,,,EL,2989508.00,,,,,,,,,2/23/2005,Closed
Sacramento,Sacramento City Unified,Rosa Parks Elementary,Modernization,57/67439-00-054,,,2616360.00,,,,,,,769,,39,9,MI,2616360.00,,,,,,,,,12/8/2004,Closed
Sacramento,Sacramento City Unified,Will C. Wood Junior High,Modernization,57/67439-00-055,,,3245617.00,,,,,,,980,,48,,MI,6491234.00,,,,,,,,,3/30/2005,Closed
Sacramento,Sacramento City Unified,Fern Bacon Middle,Modernization,57/67439-00-056,,,3241770.00,,,,,,,897,,47,28,MI,3241770.00,,,,,,,,,3/30/2005,Closed
Sacramento,Sacramento City Unified,Albert Einstein Middle,Modernization,57/67439-00-057,,,3086428.00,,,,,,,945,,39,,MI,3086428.00,,,,,,,,,3/30/2005,Closed
Sacramento,Sacramento City Unified,Luther Burbank High,Modernization,57/67439-00-058,,,10409934.00,,,,,,,,2118,128,31,HI,20819868.00,,,,,,,,,5/3/2005,Closed
Sacramento,Sacramento City Unified,Bret Harte Elementary,Modernization,57/67439-00-059,,,1633134.00,,,,,,446,,,,,EL,1633134.00,,,,,,,,,5/3/2005,Closed
Sacramento,Sacramento City Unified,James Marshall Elementary,Modernization,57/67439-00-060,,,1785353.00,,,,,,530,,,18,,EL,1785353.00,,,,,,,,,5/3/2005,Closed
Sacramento,Sacramento City Unified,John H. Still,Modernization,57/67439-00-061,,,2597152.00,,,,,,417,319,,16,13,EL,2597152.00,,,,,,,,,5/3/2005,Closed
Sacramento,Sacramento City Unified,West Campus (aka Hiram Johnson West High),Modernization,57/67439-00-062,,,5576680.00,,,,,,,,812,,,HI,5576680.00,,,,,,,,,5/3/2005,Closed
Sacramento,Sacramento City Unified,David Lubin Elementary,Modernization,57/67439-00-063,,,1700243.00,,,,,,420,,,,13,EL,1700243.00,,,,,,,,,5/3/2005,Closed
Sacramento,Sacramento City Unified,William Land Elementary,Modernization,57/67439-00-064,,,1081692.00,,,,,,275,,,,,EL,1081692.00,,,,,,,,,5/3/2005,Closed
Sacramento,Sacramento City Unified,John F. Kennedy High,Modernization,57/67439-00-065,,,10863748.00,,,,,,,,2400,48,26,HI,10863748.00,,,,,,,,,5/25/2005,Closed
Sacramento,Sacramento City Unified,New Tech High,Modernization,57/67439-00-066,,,2187990.00,,,,,,,,405,,,HI,2187990.00,,,,,,,,,5/25/2005,Closed
Sacramento,Sacramento City Unified,Calif Middle,Modernization,57/67439-00-067,,,3425378.00,,,,,,,920,,13,,MI,3425378.00,,,,,,,,,7/27/2005,Closed
Sacramento,Sacramento City Unified,Genevieve Didion Elementary,Modernization,57/67439-00-068,,,1644694.00,,,,,,335,90,,9,,EL,1644694.00,,,,,,,,,7/27/2005,Closed
Sacramento,Sacramento City Unified,Crocker/riverside Elementary,Modernization,57/67439-00-069,,,2073950.00,,,,,,440,,,,,EL,2073950.00,,,,,,,,,8/24/2005,Closed
Sacramento,Sacramento City Unified,C. K. Mcclatchy High,Modernization,57/67439-00-070,,,14789905.00,,,,,,,,2099,63,23,HI,14789905.00,,,,,,,,,10/26/2005,Closed
Sacramento,Sacramento City Unified,Susan B. Anthony Elementary,Modernization,57/67439-00-071,,,1264595.00,,,,,,350,,,24,,EL,1264595.00,,,,,,,,,10/26/2005,Closed
Sacramento,Sacramento City Unified,Sacramento High,Modernization,57/67439-00-072,,,10368276.00,,,,,,,,1914,48,35,HI,10368276.00,,,,,,,,,12/15/2005,Closed
Sacramento,Sacramento City Unified,The Met,Modernization,57/67439-00-073,,,3218745.00,,,,,,,,271,,,HI,6437490.00,,,,,,,,,6/27/2012,Closed
Sacramento,Sacramento City Unified,Luther Burbank High,Modernization,57/67439-00-074,,,858224.00,,,,,,,,136,,,HI,858224.00,,,,,,,,,6/27/2012,Closed
Sacramento,Sacramento City Unified,Kit Carson Middle,Modernization,57/67439-00-075,,,43333.00,,,,,,,6,,,,MI,43333.00,,,,,,,,,10/28/2020,Closed
Sacramento,Sacramento City Unified,C. K. Mcclatchy High,Modernization,57/67439-00-076,,,3228806.00,,,,,,,,287,,,HI,3228806.00,,,,,,,,,10/27/2021,100% Completed
Sacramento,Sacramento City Unified,American Legion High,Modernization,57/67439-00-077,,,555893.00,,,,,,,,33,,,HI,555893.00,,,,,,,,,6/28/2023,Funds Released
Sacramento,Sacramento City Unified,West Campus (do not use),Modernization,57/67439-00-078,,,737572.00,,,,,,,,54,,,HI,737572.00,,,,,,,,,6/28/2023,Funds Released
Sacramento,San Juan Unified,Starr King Middle,Modernization,57/67447-00-001,,,1577646.00,,,,,,,659,,,,MI,1577646.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Green Oaks Fundamental,Modernization,57/67447-00-002,,,771683.00,,,,,,341,,,,,EL,771683.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Churchill Intermediate,Modernization,57/67447-00-003,,,2156994.00,,,,,,,901,,,,MI,2156994.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Carnegie Intermediate,Modernization,57/67447-00-004,,,2224026.00,,,,,,,929,,,,MI,2224026.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Pasteur (louis) Fundamental Middle,Modernization,57/67447-00-005,,,2176146.00,,,,,,,909,,,,MI,2176146.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Rogers Intermediate,Modernization,57/67447-00-006,,,2253496.00,,,,,,,900,,,,MI,2253496.00,,,,,,,,,7/5/2000,Closed
Sacramento,San Juan Unified,Bella Vista High,Modernization,57/67447-00-007,,,5622396.00,,,,,,,,1794,,,HI,5622396.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Casa Roble Fundamental High,Modernization,57/67447-00-008,,,6061156.00,,,,,,,,1934,,,HI,6061156.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Del Campo High,Modernization,57/67447-00-009,,,6365586.00,,,,,,,,1942,,,HI,6365586.00,,,,,,,,,7/5/2000,Closed
Sacramento,San Juan Unified,Rio Americano High,Modernization,57/67447-00-010,,,6227258.00,,,,,,,,1987,,,HI,6227258.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Arlington Heights Elementary,Modernization,57/67447-00-011,,,1174497.00,,,,,,519,,,,,EL,1174497.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Cameron Ranch Elementary,Modernization,57/67447-00-012,,,898411.00,,,,,,397,,,,,EL,898411.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Coyle Avenue Elementary,Modernization,57/67447-00-013,,,959512.00,,,,,,424,,,,,EL,959512.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Del Dayo Elementary,Modernization,57/67447-00-014,,,959512.00,,,,,,424,,,,,EL,959512.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Kelly (thomas) Elementary,Modernization,57/67447-00-015,,,848625.00,,,,,,375,,,,,EL,848625.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Kingswood Elementary,Modernization,57/67447-00-016,,,1398534.00,,,,,,618,,,,,EL,1398534.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Lichen Elementary,Modernization,57/67447-00-017,,,1212968.00,,,,,,536,,,,,EL,1212968.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Mitchell Elementary,Modernization,57/67447-00-018,,,825995.00,,,,,,365,,,,,EL,825995.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Peck Elementary,Modernization,57/67447-00-019,,,1131500.00,,,,,,500,,,,,EL,1131500.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Pershing Elementary,Modernization,57/67447-00-020,,,1065873.00,,,,,,471,,,,,EL,1065873.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Schweitzer Elementary,Modernization,57/67447-00-021,,,946749.00,,,,,,400,,,,,EL,946749.00,,,,,,,,,7/5/2000,Closed
Sacramento,San Juan Unified,Skycrest Elementary,Modernization,57/67447-00-022,,,1357800.00,,,,,,600,,,,,EL,1357800.00,,,,,,,,,4/28/1999,Closed
Sacramento,San Juan Unified,Oakview Community,Modernization,57/67447-00-024,,,501629.00,,,,,,200,,,,,EL,501629.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,Howe Avenue Elementary,Modernization,57/67447-00-025,,,497923.00,,,,,,200,,,,,EL,497923.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,Barrett Intermediate,Modernization,57/67447-00-028,,,737583.00,,,,,,,243,,13,,MI,1475166.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Fair Oaks Elementary,Modernization,57/67447-00-029,,,127261.00,,,,,,50,,,,,EL,127261.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,Greer Elementary,Modernization,57/67447-00-030,,,151972.00,,,,,,60,,,,,EL,151972.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,Mission Avenue Elementary,Modernization,57/67447-00-031,,,142087.00,,,,,,56,,,,,EL,142087.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,Sylvan Middle (aka Citrus Heights Elementary),Modernization,57/67447-00-032,,,57583.00,,,,,,16,,,2,,EL,57583.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,Creekside Elementary,Modernization,57/67447-00-033,,,186202.00,,,,,,57,,,4,,EL,186202.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,Dyer-kelly Elementary,Modernization,57/67447-00-034,,,250813.00,,,,,,84,,,2,,EL,250813.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,Carmichael Elementary,Modernization,57/67447-00-035,,,386853.00,,,,,,125,,,10,,EL,386853.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,Sylvan Intermediate (closed),Modernization,57/67447-00-037,,,810279.00,,,,,,,270,,13,,MI,1620558.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Cottage Elementary,Modernization,57/67447-00-038,,,188296.00,,,,,,62,,,2,,EL,188296.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,La Entrada Continuation High,Modernization,57/67447-00-039,,,984790.00,,,,,,,,275,,,HI,1969580.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Arden Intermediate,Modernization,57/67447-00-040,,,715722.00,,,,,,,251,,5,,MI,1431444.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Mesa Verde High Yr,Modernization,57/67447-00-041,,,3876333.00,,,,,,,,1051,26,,HI,7752666.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Jonas Salk Alternative Middle,Modernization,57/67447-00-042,,,293634.00,,,,,,,101,,4,,MI,293634.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,Mira Loma High,Modernization,57/67447-00-043,,,467691.00,,,,,,,,115,6,,HI,935382.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Coleman Elementary,Modernization,57/67447-00-044,,,169057.00,,,,,,55,,,3,,EL,169057.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Garfield Elementary,Modernization,57/67447-00-045,,,250152.00,,,,,,75,,,4,,EL,500304.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Whitney Avenue Elementary,Modernization,57/67447-00-046,,,221362.00,,,,,,67,,,3,,EL,221362.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Orangevale Elementary,Modernization,57/67447-00-047,,,294123.00,,,,,,99,,,,,EL,294123.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Ruff (laurel) Center (tmr),Modernization,57/67447-00-048,,,601306.00,,,,,,,,,,65,EL,1202612.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Cambridge Heights Elementary,Modernization,57/67447-00-049,,,1016240.00,,,,,,393,,,,,EL,1016240.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Starr King Regular,Modernization,57/67447-00-050,,,34473.00,,,,,,10,,,1,,EL,34473.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,El Camino Fundamental High,Modernization,57/67447-00-051,,,1092782.00,,,,,,,,299,4,,HI,1092782.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Richardson (ralph) Center,Modernization,57/67447-00-052,,,488913.00,,,,,,,,,,54,EL,488913.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,Starr King Middle,Modernization,57/67447-00-053,,,341481.00,,,,,,,103,,2,5,MI,341481.00,,,,,,,,,12/18/2002,Closed
Sacramento,San Juan Unified,San Juan High,Modernization,57/67447-00-054,,,794998.00,,,,,,,,189,13,,HI,1589996.00,,,,,,,,,8/27/2003,Closed
Sacramento,San Juan Unified,Woodside Elementary,Modernization,57/67447-00-055,,,1748803.00,,,,,,498,,,16,,EL,1748803.00,,,,,,,,,1/25/2006,Closed
Sacramento,San Juan Unified,Trajan Elementary,Modernization,57/67447-00-056,,,1562850.00,,,,,,450,,,,,EL,1562850.00,,,,,,,,,6/25/2008,Closed
Sacramento,San Juan Unified,Mesa Verde High Yr,Modernization,57/67447-00-057,,,423546.00,,,,,,,,,17,22,HI,423546.00,,,,,,,,,12/14/2011,Closed
Sacramento,San Juan Unified,Trajan Elementary,Modernization,57/67447-00-058,,,454883.00,,,,,,111,,,,,EL,454883.00,,,,,,,,,9/6/2017,Closed
Sacramento,San Juan Unified,Churchill Intermediate,Modernization,57/67447-00-059,,,968849.00,,,,,,,130,,,,MI,968849.00,,,,,,,,,5/27/2020,100% Completed
Sacramento,San Juan Unified,Bella Vista High,Modernization,57/67447-00-060,,,822766.96,,,,,,,,37,4,18,HI,822766.96,,,,,,,,,5/27/2020,100% Completed
