OBJECTID,WSR_NAME,WSR_CLASS,ORV,CASEFILE,DSG_MILES,BLM_ORG_CD,GIS_MILES,SHAPE_Length
634,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.13118772,0.00238889769960771
635,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.05189814,0.000998648733460363
636,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.09451466,0.00179242365654257
637,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.06273312,0.00114412543625439
638,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.20760526,0.00398764186599864
639,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.1012228,0.00195961601077767
640,Clackamas River Segment B,REC,FISH/CULT/OTHR/REC/WLDL,OROR 044710,,ORN01,3.57397445,0.0659220146378269
641,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,1.17374027,0.0202585381051827
642,Grande Ronde River Segment B,WILD,FISH/PREH/REC/SCENIC/WLDL,OROR 044719,,ORV05,0.13792407,0.00273008670387335
643,Owyhee River (South and Upper),WILD,GEOL/HIST/PREH/REC/SCENIC/WLDL,OROR 038026,,ORV00,0.03117812,0.000508930789015573
644,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.01468306,0.000243329110484041
645,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.05355629,0.000938427100584293
646,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.00202578,2.99296070640504e-05
647,North Fork Crooked River Segment A,REC,FISH/REC/SCENIC,OROR 044731,,ORP04,1.06875925,0.0165467695486811
648,North Fork Crooked River Segment A,REC,FISH/REC/SCENIC,OROR 044731,,ORP04,1.5959802,0.0262353507117879
649,North Fork Crooked River Segment A,REC,FISH/REC/SCENIC,OROR 044731,,ORP04,1.29076171,0.0209547742461085
650,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.10402856,0.00202935534735221
651,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.01389485,0.00027032162829475
