OBJECTID,PLANID,BLM_ORG_CD,OHV_DSG,DSG_REASON,RESTRICT_,RESTRICT_DETAIL,SHAPE_Length,SHAPE_Area
1133,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.835899133110712,0.00373930745092386
1134,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.165018287520718,0.000706268715896172
1135,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0171668983035907,1.80006804402862e-05
1136,Southwestern Oregon RMP 2016,ORM05,Limited to Existing,BLM,,,0.011751393159835,6.26454807500735e-06
1137,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.017188784279012,1.80430040479147e-05
1138,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0168590429337175,1.73767843854732e-05
1139,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0170121919421005,1.77212728876872e-05
1140,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0171711852476484,1.8036007817895e-05
1141,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.103916242114992,0.000211690861005614
1142,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0875851595141997,0.000230039867839073
1143,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0681075644727649,0.000283596542208676
1144,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0682361543351987,0.000284673075317692
1145,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0334976733904995,5.32776311600119e-05
