zip,eiaid,utilityname,statevalue,servicetype,ownership,commrate,indrate,resrate
62837.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62818.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62452.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62889.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62867.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62450.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62842.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62860.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62839.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62871.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62861.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62850.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62868.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62820.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62810.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62821.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62835.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62836.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62827.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62823.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62476.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62887.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62862.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62828.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62446.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62853.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
