SECTION_NUMBER,ON_STREET,FROM_STREET,TO_STREET,LENGTH,COUNT_,CURRENT_PQI,MEASURED_PQI,PQI_DATE,CLASS,YEAR,ObjectId
9880,HARDY DR,W CHILTON DR,W TODD DR,270,2,35.8,45.8,2021/03/18 07:00:00+00,Collector,2021,882
9890,HARDY DR,W TODD DR,W STEPHENS DR,247,2,25.7,34,2021/03/18 07:00:00+00,Collector,2021,883
9900,HARDY DR,W STEPHENS DR,GROVE PARKWAY,596,2,33.3,43,2021/03/18 07:00:00+00,Collector,2021,884
9920,GREENTREE DR,PRIEST DR,BECK AV,1358,2,92,93.8,2021/03/18 07:00:00+00,Local,2021,885
9930,BECK AV,GREENTREE DR,RANCH RD,359,2,88.9,91.3,2021/03/18 07:00:00+00,Local,2021,886
9940,BECK AV,RANCH RD,WARNER RD,658,2,90.6,92.5,2021/03/18 07:00:00+00,Local,2021,887
9950,RANCH RD,BECK AV,HARDY DR,1301,2,91.2,93.1,2021/03/18 07:00:00+00,Local,2021,888
9960,MCKEMY ST,KNOX RD,LA VIEVE LN,1481,2,88.5,91.1,2021/03/18 07:00:00+00,Local - Industrial,2021,889
9970,MCKEMY ST,LA VIEVE LN,WARNER RD,1236,2,87.7,90.2,2021/03/18 07:00:00+00,Local - Industrial,2021,890
9990,KNOX RD,MCKEMY ST,FARMER AV,1127,2,84.9,87.4,2021/03/18 07:00:00+00,Local - Industrial,2021,891
10000,KNOX RD,FARMER AV,KYRENE RD,607,2,83.1,85.9,2021/03/18 07:00:00+00,Local - Industrial,2021,892
10010,FARMER AV,KNOX RD,LA VIEVE LN,1033,2,89.8,92.1,2021/03/18 07:00:00+00,Local - Industrial,2021,893
10020,LA VIEVE LN,MCKEMY ST,FARMER AV,714,2,85.1,87.5,2021/03/18 07:00:00+00,Local - Industrial,2021,894
10030,LA VIEVE LN,FARMER AV,KYRENE RD,605,2,83.6,86.4,2021/03/18 07:00:00+00,Local - Industrial,2021,895
10040,WARNER RANCH DR,KYRENE RD,LARONA LN,412,1,38.3,48.6,2021/03/18 07:00:00+00,Collector,2021,896
3311,RIO SALADO PARKWAY,HARDY DR,1ST ST,2320,1,28.4,37.2,2021/03/18 07:00:00+00,Collector,2021,897
10050,WARNER RANCH DR,LARONA LN,DROMEDARY DR,222,1,28.2,36.9,2021/03/18 07:00:00+00,Collector,2021,898
10060,WARNER RANCH DR,DROMEDARY DR,MICHELLE LN,381,1,33.6,43.2,2021/03/18 07:00:00+00,Collector,2021,899
10070,WARNER RANCH DR,MICHELLE LN,DATELAND DR,365,1,35.4,45.4,2021/03/18 07:00:00+00,Collector,2021,900
10080,WARNER RANCH DR,DATELAND DR,DATELAND DR,193,1,22.7,30.2,2021/03/18 07:00:00+00,Collector,2021,901
10090,WARNER RANCH DR,DATELAND DR,ASH AV,232,1,21.8,29.2,2021/03/18 07:00:00+00,Collector,2021,902
10100,WARNER RANCH DR,ASH AV,VERA LN,421,1,26.6,34.9,2021/03/18 07:00:00+00,Collector,2021,903
10110,WARNER RANCH DR,VERA LN,KNOX RD,153,1,23.5,31.2,2021/03/18 07:00:00+00,Collector,2021,904
10120,WARNER RANCH DR,KNOX RD,KNOX RD,361,1,27.4,35.8,2021/03/18 07:00:00+00,Collector,2021,905
10130,WARNER RANCH DR,KNOX RD,JEANINE DR,222,1,21.1,28.3,2021/03/18 07:00:00+00,Collector,2021,906
10140,WARNER RANCH RD,JEANINE DR,MYRNA LN,504,1,26.1,34.3,2021/03/18 07:00:00+00,Collector,2021,907
10150,WARNER RANCH RD,MYRNA LN,CAROLINE LN,236,1,30.7,40,2021/03/18 07:00:00+00,Collector,2021,908
10160,WARNER RANCH RD,CAROLINE LN,CAROLINE LN,122,1,25.6,33.6,2021/03/18 07:00:00+00,Collector,2021,909
10170,WARNER RANCH RD,CAROLINE LN,DAWN DR,254,1,33.5,43.2,2021/03/18 07:00:00+00,Collector,2021,910
10180,WARNER RANCH RD,DAWN DR,LA VIEVE DR,205,1,21.5,28.6,2021/03/18 07:00:00+00,Collector,2021,911
10190,WARNER RANCH RD,LA VIEVE DR,GREENTREE DR,323,1,34.8,44.6,2021/03/18 07:00:00+00,Collector,2021,912
10200,WARNER RANCH RD,GREENTREE DR,SARAH LN,112,1,29.6,38.6,2021/03/18 07:00:00+00,Collector,2021,913
