STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR,Shape_Length,Shape_Area,OBJECTID
06, ,31230, ,0631230,Point Arena Joint Union High School District,00,09,12, ,E,1044768998,422977134,+38.8349084,-123.5185681,2018,2017-2018,2.84347430276312,0.108466153630033,107
06, ,05820, ,0605820,Brawley Union High School District,00,09,12, ,E,2029143039,198658273,+33.0859033,-115.6791989,2018,2017-2018,3.09761045210991,0.215171021224005,108
06, ,06015, ,0606015,Santa Cruz City High School District (9-12),00,09,12,A,F,45662032,68773652,+36.9545991,-121.9755307,2018,2017-2018,0.416025980240999,0.00464877739743735,109
06, ,02700, ,0602700,Anderson Union High School District,00,09,12, ,E,615542076,7170106,+40.4431202,-122.3156362,2018,2017-2018,1.85326307881927,0.0660997678244989,110
06, ,29270, ,0629270,Oxnard Union High School District,00,09,12, ,E,598565649,285939432,+34.1666166,-119.0841513,2018,2017-2018,1.94187001641578,0.0588896637437075,111
06, ,37260, ,0637260,Sonora Union High School District,00,09,12, ,E,806139872,47022170,+37.9227248,-120.4225030,2018,2017-2018,2.18207767074867,0.0874186024695002,112
06, ,38280, ,0638280,Summerville Union High School District,00,09,12, ,E,3282313378,46689334,+38.1414340,-119.9276170,2018,2017-2018,3.40072891947163,0.342122204200502,113
06, ,99013, ,0699013,Oakdale Joint Unified School District (9-12),00,09,12,A,F,495653735,8043872,+37.8598575,-120.7649776,2018,2017-2018,1.58475472486337,0.0515700087009898,114
06, ,99012, ,0699012,Hughson Unified School District (9-12),00,09,12,A,F,298439433,17844104,+37.6270442,-120.5723086,2018,2017-2018,1.07634138982084,0.0322830129560056,115
06, ,99003, ,0699003,Riverdale Joint Unified School District (9-12),00,09,12,A,F,556399163,695948,+36.4076630,-120.1525502,2018,2017-2018,1.49329225073998,0.0559691206075072,116
06, ,99004, ,0699004,Sierra Unified School District (9-12),00,09,12,A,F,2981490880,63873877,+37.2236095,-119.0009358,2018,2017-2018,2.99792244225376,0.309259286351,117
06, ,99005, ,0699005,Orland Joint Unified School District (9-12),00,09,12,A,F,92859908,242372,+39.7181193,-122.1196270,2018,2017-2018,0.636326138520797,0.00977982290649691,118
06, ,99008, ,0699008,Upper Lake Unified School District (9-12),00,09,12,A,F,78086395,36746376,+39.0907791,-122.7850454,2018,2017-2018,0.512220050152026,0.011955819114497,119
06, ,99011, ,0699011,Santa Cruz City High School District (6-12),00,06,12,A,F,99094925,152256243,+36.9537170,-122.0705997,2018,2017-2018,0.727097651824282,0.0100883689300116,120
06, ,99014, ,0699014,Nevada Joint Union High School District (9-12),00,09,12,A,F,135672004,10983925,+39.4308753,-121.1005893,2018,2017-2018,0.619503106723518,0.0153467648959991,121
06, ,99001, ,0699001,Gridley Unified School District (9-12),00,09,12,A,F,29400975,227326,+39.3263017,-121.6638966,2018,2017-2018,0.253485648123171,0.00309491184500023,122
06, ,99007, ,0699007,Eureka City Unified School District (9-12),00,09,12,A,F,312380570,411149,+40.6872478,-123.9241334,2018,2017-2018,1.00334897175868,0.0333184585740003,123
06, ,99006, ,0699006,Eureka City Unified School District (7-12),00,07,12,A,F,323834837,15284936,+40.7144031,-124.0985415,2018,2017-2018,1.25550241688927,0.0345538318573657,124
06, ,99009, ,0699009,Coast Unified School District (9-12),00,09,12,A,F,126992458,73156957,+35.4785848,-120.8947455,2018,2017-2018,0.611729536517596,0.012849439149442,125
06, ,99010, ,0699010,Paso Robles Joint Unified School District (9-12),00,09,12,A,F,768696306,19053208,+35.7874217,-120.7311599,2018,2017-2018,2.21403169206747,0.0785317836724988,126
06, ,99002, ,0699002,Caruthers Unified School District (9-12),00,09,12,A,F,156730816,103327,+36.5792894,-119.9035634,2018,2017-2018,0.873389593190324,0.0157905166044957,127
09, ,00005, ,0900005,Regional High School District 19,00,09,12, ,E,302228829,5055984,+41.8616318,-072.2239694,2018,2017-2018,0.924807586466775,0.0333149559100001,128
