ObjectId,YEAR,MONTH,Number_of_Tags_Issued,animal_type,zip_code
1163,2014,3,2,DOG,40023
1164,2014,3,2,DOG,40025
1165,2014,3,1,DOG,40069
1166,2014,3,1,DOG,40107
1167,2014,3,1,DOG,40118
1168,2014,3,1,DOG,40203
1169,2014,3,5,DOG,40204
1170,2014,3,9,DOG,40205
1171,2014,3,5,DOG,40206
1172,2014,3,10,DOG,40207
1173,2014,3,2,DOG,40208
1174,2014,3,5,DOG,40210
1175,2014,3,1,DOG,40211
1176,2014,3,1,DOG,40212
1177,2014,3,2,DOG,40213
1178,2014,3,5,DOG,40214
1179,2014,3,2,DOG,40215
1180,2014,3,7,DOG,40216
1181,2014,3,4,DOG,40217
1182,2014,3,5,DOG,40218
1183,2014,3,14,DOG,40219
1184,2014,3,10,DOG,40220
1185,2014,3,1,DOG,40222
1186,2014,3,2,DOG,40223
1187,2014,3,4,DOG,40228
1188,2014,3,5,DOG,40229
1189,2014,3,1,DOG,40232
1190,2014,3,4,DOG,40241
1191,2014,3,2,DOG,40242
1192,2014,3,2,DOG,40243
1193,2014,3,5,DOG,40245
1194,2014,3,8,DOG,40258
1195,2014,3,9,DOG,40272
1196,2014,3,8,DOG,40291
1197,2014,3,7,DOG,40299
1198,2014,3,1,DOG,47130
1199,2014,4,1,CAT,40059
1200,2014,4,1,CAT,40118
1201,2014,12,7,DOG,40205
1202,2014,12,5,DOG,40206
1203,2014,12,2,DOG,40207
1204,2014,12,2,DOG,40208
1205,2014,12,1,DOG,40212
1206,2014,12,8,DOG,40213
1207,2014,12,28,DOG,40214
1208,2014,12,7,DOG,40215
1209,2014,12,10,DOG,40216
1210,2014,12,3,DOG,40217
1211,2014,12,1,DOG,40218
1212,2014,12,9,DOG,40219
1213,2014,12,4,DOG,40220
1214,2014,12,6,DOG,40222
1215,2014,12,2,DOG,40223
1216,2014,12,8,DOG,40228
1217,2014,12,4,DOG,40229
1218,2015,1,1,DOG,30092
1219,2014,12,4,DOG,40241
1220,2014,12,5,DOG,40242
1221,2014,12,1,DOG,40243
1222,2014,12,11,DOG,40258
1223,2014,12,1,DOG,40268
1224,2014,12,7,DOG,40272
1225,2014,12,5,DOG,40291
1226,2014,12,6,DOG,40299
1227,2014,12,1,DOG,47122
1228,2014,12,2,DOG,47130
1229,2014,12,1,DOG,47150
1230,2015,1,1,CAT,40059
1231,2015,1,1,CAT,40118
1232,2015,1,1,CAT,40204
1233,2015,1,1,CAT,40205
1234,2015,1,2,CAT,40207
1235,2015,1,1,CAT,40212
1236,2015,1,2,CAT,40213
1237,2015,1,1,CAT,40214
1238,2015,1,2,CAT,40215
1239,2015,1,3,CAT,40216
1240,2015,1,4,CAT,40217
1241,2015,1,1,CAT,40218
1242,2015,1,4,CAT,40219
1243,2015,1,3,CAT,40222
1244,2015,1,1,CAT,40229
1245,2015,1,1,CAT,40241
1246,2015,1,2,CAT,40245
1247,2015,1,1,CAT,40258
1248,2015,1,3,CAT,40272
1249,2015,1,1,CAT,40291
1250,2015,1,2,CAT,40299
1251,2015,1,1,DOG,
1252,2015,5,3,CAT,40220
1253,2015,2,1,CAT,40291
1254,2015,3,9,CAT,40272
1255,2015,5,2,CAT,40222
1256,2014,10,2,DOG,40203
1257,2015,2,3,CAT,40299
1258,2015,3,3,CAT,40291
1259,2015,1,3,DOG,40059
1260,2014,11,6,DOG,40207
1261,2015,5,1,CAT,40223
1262,2014,10,4,DOG,40204
1263,2015,2,1,CAT,47150
1264,2015,3,1,CAT,40299
1265,2015,1,4,DOG,40118
1266,2014,11,3,DOG,40211
1267,2015,5,2,CAT,40228
1268,2014,10,8,DOG,40205
1269,2015,2,1,DOG,40118
1270,2015,3,1,DOG,
1271,2015,1,1,DOG,40175
1272,2014,11,3,DOG,40213
1273,2015,5,5,CAT,40229
1274,2014,10,2,DOG,40206
1275,2015,2,1,DOG,40203
1276,2015,3,1,DOG,40047
1277,2015,1,2,DOG,40204
1278,2014,11,4,DOG,40214
1279,2015,5,1,CAT,40241
1280,2014,10,11,DOG,40207
1281,2015,2,3,DOG,40204
1282,2015,3,1,DOG,40059
1283,2015,1,4,DOG,40205
1284,2014,11,6,DOG,40215
1285,2015,5,1,CAT,40242
1286,2014,10,1,DOG,40208
1287,2015,2,6,DOG,40205
1288,2015,3,4,DOG,40118
1289,2015,1,2,DOG,40206
1290,2014,11,10,DOG,40216
1291,2015,5,1,CAT,40243
1292,2014,10,2,DOG,40210
1293,2015,2,9,DOG,40207
1294,2015,3,1,DOG,40203
1295,2015,1,13,DOG,40207
1296,2014,11,2,DOG,40217
1297,2015,4,2,CAT,40268
1298,2015,5,1,CAT,40245
1299,2014,10,4,DOG,40212
1300,2015,2,2,DOG,40208
1301,2015,3,3,DOG,40204
1302,2015,1,3,DOG,40208
1303,2014,11,4,DOG,40218
1304,2015,4,2,CAT,40272
1305,2015,5,5,CAT,40272
1306,2014,10,11,DOG,40213
1307,2015,2,1,DOG,40210
1308,2015,3,5,DOG,40205
1309,2015,1,2,DOG,40211
1310,2014,11,5,DOG,40219
1311,2015,4,1,CAT,40291
1312,2015,5,2,CAT,40291
1313,2014,10,9,DOG,40214
1314,2015,2,1,DOG,40211
1315,2015,3,1,DOG,40206
1316,2015,1,1,DOG,40212
1317,2014,11,3,DOG,40220
1318,2015,4,3,CAT,40299
1319,2015,5,1,CAT,40299
1320,2014,10,5,DOG,40215
1321,2015,2,1,DOG,40212
1322,2015,3,3,DOG,40207
1323,2015,1,5,DOG,40213
1324,2014,11,1,DOG,40223
1325,2015,4,1,CAT,47129
1326,2015,5,1,DOG,40071
1327,2014,10,6,DOG,40216
1328,2015,2,8,DOG,40213
1329,2015,3,5,DOG,40208
1330,2015,1,11,DOG,40214
1331,2014,11,3,DOG,40228
1332,2015,4,1,CAT,47130
1333,2015,5,1,DOG,40118
1334,2014,10,7,DOG,40217
1335,2015,2,7,DOG,40214
1336,2015,3,1,DOG,40210
1337,2015,1,2,DOG,40215
1338,2014,11,5,DOG,40229
1339,2015,4,2,DOG,40023
1340,2015,5,1,DOG,40203
1341,2014,10,7,DOG,40218
1342,2015,2,2,DOG,40215
